"version_full";"date (yyyy-mm-dd)"
"127.0.0";"2024-06-11"
"127.0.1";"2024-06-19"
"127.0.2";"2024-06-25"
"128.0.0";"2024-07-09"
"128.0.2";"2024-07-23"
"128.0.3";"2024-07-26"
"129.0.0";"2024-08-06"
"129.0.1";"2024-08-13"
"129.0.2";"2024-08-20"
"130.0.0";"2024-09-14"
"130.0.1";"2024-09-17"
"131.0.0";"2024-10-01"
"131.0.2";"2024-10-09"
"131.0.3";"2024-10-14"
"132.0.0";"2024-10-29"
"132.0.1";"2024-11-04"
"132.0.2";"2024-11-12"
"133.0.0";"2024-11-26"
"133.0.3";"2024-12-10"
"134.0.0";"2025-01-07"
"134.0.1";"2025-01-14"
"134.0.2";"2025-01-21"
"135.0.0";"2025-02-04"
"135.0.1";"2025-02-18"
"136.0.0";"2025-03-04"
"136.0.1";"2025-03-11"
"136.0.2";"2025-03-18"
"136.0.3";"2025-03-25"
"136.0.4";"2025-03-27"
"137.0.0";"2025-04-01"
