"version_full";"version_short";"description";"date (yyyy-mm-dd)"
"14.03.0328.005";"14.3.328.5";"Update Rollup 5 for Exchange Server 2010 SP2";"2012-11-13"
"14.03.0336.000";"14.3.336.0";"Update Rollup 16 for Exchange Server 2010 SP3";"2016-12-13"
"14.03.0339.000";"14.3.339.";"Update Rollup 16 for Exchange Server 2010 SP3 (KB3184730)";"2016-12-13"
"14.03.0352.000";"14.3.352.0";"Update Rollup 17 for Exchange Server 2010 SP3";"2017-03-21"
"14.03.0361.001";"14.3.361.1";"Update Rollup 18 for Exchange Server 2010 SP3";"2017-07-11"
"14.03.0382.000";"14.3.382.0";"Update Rollup 19 for Exchange Server 2010 SP3";"2017-12-19"
"14.03.0389.001";"14.3.389.1";"Update Rollup 20 for Exchange Server 2010 SP3";"2018-03-05"
"14.03.0399.002";"14.3.399.2";"Update Rollup 21 for Exchange Server 2010 SP3";"2018-05-07"
"14.03.0411.000";"14.3.411.0";"Update Rollup 22 for Exchange Server 2010 SP3";"2018-06-19"
"14.03.0417.001";"14.3.417.1";"Update Rollup 23 for Exchange Server 2010 SP3";"2018-08-13"
"14.03.0419.000";"14.3.419.0";"Update Rollup 24 for Exchange Server 2010 SP3";"2018-09-05"
"14.03.0435.000";"14.3.435.0";"Update Rollup 25 for Exchange Server 2010 SP3";"2019-01-08"
"14.03.0442.000";"14.3.442.0";"Update Rollup 26 for Exchange Server 2010 SP3";"2019-02-12"
"14.03.0452.000";"14.3.452.0";"Update Rollup 27 for Exchange Server 2010 SP3";"2019-04-09"
"14.03.0461.001";"14.3.461.1";"Update Rollup 28 for Exchange Server 2010 SP3";"2019-06-07"
"14.03.0468.000";"14.3.468.0";"Update Rollup 29 for Exchange Server 2010 SP3";"2019-07-09"
"14.03.0496.000";"14.3.496.0";"Update Rollup 30 for Exchange Server 2010 SP3";"2020-02-11"
"14.03.0509.000";"14.3.509.0";"Update Rollup 31 for Exchange Server 2010 SP3";"2020-12-01"
"14.03.0513.000";"14.3.513.0";"Update Rollup 32 for Exchange Server 2010 SP3";"2021-03-02"
"15.00.0516.032";"15.0.516.32";"Exchange Server 2013 RTM";"2012-12-03"
"15.00.0620.029";"15.0.620.29";"Exchange Server 2013 CU1";"2013-04-02"
"15.00.0712.022";"15..712.22";"CU2 for Exchange Server 2013 (KB2859928)";"2013-07-29"
"15.00.0712.024";"15.0.712.24";"Exchange Server 2013 CU2";"2013-07-09"
"15.00.0775.038";"15.0.775.38";"Exchange Server 2013 CU3";"2013-11-25"
"15.00.0775.041";"15..775.41";"CU3 for Exchange Server 2013 (KB2892464)";"2013-12-05"
"15.00.0847.032";"15.0.847.32";"Exchange Server 2013 SP1";"2014-02-25"
"15.00.0847.047";"15..847.47";"MS16-079 Security Update for Exchange Server 2013 SP1";"2016-06-14"
"15.00.0847.050";"15..847.50";"MS16-108 Security Update for Exchange Server 2013 SP1";"2016-09-13"
"15.00.0847.053";"15..847.53";"MS17-015 Security Update for Exchange Server 2013 SP1";"2017-03-14"
"15.00.847.055";"15..847.55";"Security Update for Exchange Server 2013 SP1 (KB4018588)";"2017-07-11"
"15.00.0847.057";"15..847.57";"Security Update for Exchange Server 2013 SP1 (KB4036108)";"2017-09-12"
"15.00.0847.062";"15..847.62";"Security Update for Exchange Server 2013 SP1 (KB4092041)";"2018-05-08"
"15.00.0847.064";"15.0.847.64";"Exchange Server 2013 SP1 Mar21SU";"2021-03-02"
"15.00.0913.022";"15.0.913.22";"Exchange Server 2013 CU5";"2014-05-27"
"15.00.0995.029";"15.0.995.29";"Exchange Server 2013 CU6";"2014-08-26"
"15.00.1044.025";"15.0.1044.25";"Exchange Server 2013 CU7";"2014-12-09"
"15.00.1076.009";"15.0.1076.9";"Exchange Server 2013 CU8";"2015-03-17"
"15.00.1104.005";"15.0.1104.5";"Exchange Server 2013 CU9";"2015-06-17"
"15.00.1130.007";"15.0.1130.7";"Exchange Server 2013 CU10";"2015-09-15"
"15.00.1156.006";"15.0.1156.6";"Exchange Server 2013 CU11";"2015-12-15"
"15.00.1156.010";"15..1156.10";"MS16-079 Security Update for Exchange Server 2013 CU11";"2016-06-14"
"15.00.1178.004";"15.0.1178.4";"Exchange Server 2013 CU12";"2016-03-15"
"15.00.1178.006";"15..1178.6";"MS16-079 Security Update for Exchange Server 2013 CU12";"2016-06-14"
"15.00.1178.009";"15..1178.9";"MS16-108 Security Update for Exchange Server 2013 CU12";"2016-09-13"
"15.00.1210.003";"15.0.1210.3";"Exchange Server 2013 CU13";"2016-06-21"
"15.00.1210.006";"15..1210.6";"MS16-108 Security Update for Exchange Server 2013 CU13";"2016-09-13"
"15.00.1236.003";"15.0.1236.3";"Exchange Server 2013 CU14";"2016-09-20"
"15.00.1236.006";"15..1236.6";"MS17-015 Security Update for Exchange Server 2013 CU14";"2017-03-14"
"15.00.1263.005";"15.0.1263.5";"Exchange Server 2013 CU15";"2016-12-13"
"15.00.1293.002";"15.0.1293.2";"Exchange Server 2013 CU16";"2017-03-21"
"15.00.1293.004";"15..1293.4";"Security Update for Exchange Server 2013 CU16 (KB4018588)";"2017-07-11"
"15.00.1293.006";"15..1293.6";"Security Update for Exchange Server 2013 CU16 (KB4036108)";"2017-09-12"
"15.00.1320.004";"15.0.1320.4";"Exchange Server 2013 CU17";"2017-06-27"
"15.00.1320.006";"15..1320.6";"Security Update for Exchange Server 2013 CU17 (KB4036108)";"2017-09-12"
"15.00.1320.007";"15..1320.7";"Security Update for Exchange Server 2013 CU17 (KB4045655)";"2017-12-12"
"15.00.1347.002";"15.0.1347.2";"Exchange Server 2013 CU18";"2017-09-19"
"15.00.1347.003";"15..1347.3";"Security Update for Exchange Server 2013 CU18 (KB4045655)";"2017-12-12"
"15.00.1365.001";"15.0.1365.1";"Exchange Server 2013 CU19";"2017-12-19"
"15.00.1365.007";"15..1365.7";"Security Update for Exchange Server 2013 CU19 (KB4092041)";"2018-05-08"
"15.00.1367.003";"15.0.1367.3";"Exchange Server 2013 CU20";"2018-03-20"
"15.00.1367.006";"15..1367.6";"Security Update for Exchange Server 2013 CU20 (KB4092041)";"2018-05-08"
"15.00.1367.009";"15..1367.9";"Security Update for Exchange Server 2013 CU20 (KB4340731)";"2018-08-14"
"15.00.1395.004";"15.0.1395.4";"Exchange Server 2013 CU21";"2018-06-19"
"15.00.1395.007";"15..1395.7";"Security Update for Exchange Server 2013 CU21 (KB4340731)";"2018-08-14"
"15.00.1395.008";"15..1395.8";"Security Update for Exchange Server 2013 CU21 (KB4459266)";"2018-10-09"
"15.00.1395.010";"15..1395.10";"Security Update for Exchange Server 2013 CU21 (KB4471389)";"2019-01-09"
"15.00.1395.012";"15.0.1395.12";"Exchange Server 2013 CU21 Mar21SU";"2021-03-02"
"15.00.1473.003";"15.0.1473.3";"Exchange Server 2013 CU22";"2019-02-12"
"15.00.1473.004";"15..1473.4";"Security Update for Exchange Server 2013 CU22 (KB4487563)";"2019-04-09"
"15.00.1473.005";"15..1473.5";"Security Update for Exchange Server 2013 CU22 (KB4503028)";"2019-06-11"
"15.00.1473.006";"15.0.1473.6";"Exchange Server 2013 CU22 Mar21SU";"2021-03-02"
